serial	track1_filename	md5
SCES-20900	Final Fantasy VII (Spain) (Disc 3).bin	45147d502dc87450ab15ee0c473ce9d2
SCES-22080	Final Fantasy VIII (Europe, Australia) (Disc 3).bin	dabd250d44fcde80777f27f9be8aab79
SCES-23043	Legend of Dragoon, The (Europe) (Disc 3).bin	acd73f98c5754bde0e908c35f3d7bffb
SCES-23044	Legend of Dragoon, The (France) (Disc 3).bin	f560b1821673b8ac32ca54fde3d9dee2
SCES-23045	Legend of Dragoon, The (Germany) (Disc 3).bin	2f6381b80aa7f9ef893328b3275a7f79
SCES-23046	Legend of Dragoon, The (Italy) (Disc 3).bin	9668fe3f8a42fa2e4c489d561cf70fec
SCES-23047	Legend of Dragoon, The (Spain) (Disc 3).bin	39048a3cb99af5f8a1c9d9d46ee20fc4
SCES-32080	Final Fantasy VIII (Europe, Australia) (Disc 4).bin	7799eafe704cf74214a3ad96bce3e20e
SCES-33043	Legend of Dragoon, The (Europe) (Disc 4).bin	bf0c1d661f3b31538ab21cbdbb0d968a
SCES-33044	Legend of Dragoon, The (France) (Disc 4).bin	78b263a3f09fd5075f766b9861402e60
SCES-33045	Legend of Dragoon, The (Germany) (Disc 4).bin	e39ef114056fe39d145475d5d536f191
SCES-33046	Legend of Dragoon, The (Italy) (Disc 4).bin	be75cf500056a869d47f335851a22d47
SCES-33047	Legend of Dragoon, The (Spain) (Disc 4).bin	00abc34786f3a68b767f38886c99b61f
SCPS 10091	Saru! Get You! (Japan).bin	5c70c89355b58111c1fafd050bdeef49
SCPS-10001	Motor Toon Grand Prix (Japan).bin	3e7ee199aaf03f203f4e30a8f83cabf2
SCPS-10003	Crime Crackers (Japan).bin	13b15157769738d92d618d606f75b3c6
SCPS-10006	Gunners Heaven (Japan).bin	cf33c25c97a0e3bb5618acebb84f8c09
SCPS-10008	Arc the Lad (Japan) (Rev 1).bin	219f45a30345d4a7370303576e312d8c
SCPS-10009	Philosoma (Japan).bin	2d3d7ce05d988f07219bf99a5125af9c
SCPS-10018	Motor Toon Grand Prix 2 (Japan) (Disc 1).bin	2dcdae5f198b11f74cf479ff53adddcf
SCPS-10019	Motor Toon Grand Prix 2 (Japan) (Disc 2) (Taisen Sen'you Disc).bin	36788e4234f249624c949b5c1a5c481d
SCPS-10022	Jumping Flash! (Japan) (Europe-ban).bin	09d13abf74a236da634f174cc754f211
SCPS-10023	PoPoLoCrois Monogatari (Japan) (Rev 1).bin	60418240bc5488f3127469011d40296b
SCPS-10026	Arc the Lad II (Japan) (Rev 1).bin	012b023097777cb6ce6a5de5e0457022
SCPS-10027	Velldeselba Senki - Tsubasa no Kunshou (Japan).bin	3db9b7c337db291984ccf74c2664b4f3
SCPS-10028	Wild Arms (Japan) (Rev 1).bin	72aa66ac0c89183aa02b2386d43ff911
SCPS-10029	I.Q - Intelligent Qube (Japan).bin	944d73453eb614df3f04e9611aefa36e
SCPS-10031	Crash Bandicoot (Japan, Asia).bin	39b034eb70d3327e2b976a97923b9f4d
SCPS-10035	Alundra (Japan).bin	c889bc7a10d90a8029ba1390577272c0
SCPS-10039	Linda^3 Again (Japan) (Rev 1).bin	71f138f8287ef3377c119116e0c44b7e
SCPS-10040	Arc the Lad - Monster Game with Casino Game (Japan) (Disc 1) (Monster Game).bin	011269579b556f4855dc4b60f5efbe29
SCPS-10041	Arc the Lad - Monster Game with Casino Game (Japan) (Disc 2) (Casino Game).bin	053be4dc946cba2fddcccb733967d8d5
SCPS-10047	Crash Bandicoot 2 - Cortex no Gyakushuu! (Japan, Asia).bin	19eb779df91a77d0562c3a1660a6561d
SCPS-10050	PoPoRoGue (Japan).bin	950d12d0cc9d0ecd5d01ea6c96a9b808
SCPS-10060	Rapid Racer (Japan) (Track 1).bin	57858e561f0514196e489045dd4184ec
SCPS-10064	KulaQuest (Japan).bin	55a57f748a2a2317fdfac8653a0eb7e1
SCPS-10065	G-Police (Japan) (Disc 1).bin	a50e9f45592f01ac580a94bc7e084c2d
SCPS-10066	G-Police (Japan) (Disc 2).bin	f739e9bb23f9eb92e1cc93b4ff7e8cc8
SCPS-10071	I.Q Final (Japan).bin	7e0dba23269c05cca46e7ae388b48165
SCPS-10073	Crash Bandicoot 3 - Buttobi! Sekai Isshuu (Japan, Asia).bin	546920c7a9af2e678685be1bbda02e03
SCPS-10074	Ore no Shikabane o Koete Yuke (Japan).bin	2a68c9af8c6b9d58e7a9a0cb00298b56
SCPS-10076	Pocket MuuMuu (Japan).bin	84607a1febb810417e14d84024be1055
SCPS-10077	Circadia (Japan) (Disc 1).bin	fcb8d5652faa6e16ac265416d5cee4fb
SCPS-10078	Circadia (Japan) (Disc 2).bin	70bdc5967835d75dad5e45ccf0d84709
SCPS-10081	MediEvil - Yomigaetta Gallowmere no Yuusha (Japan) (Track 1).bin	a87688912c931ddc1d15021dfbc4d5b3
SCPS-10082	Global Force - Shin Sentou Kokka (Japan) (Rev 1).bin	f6fca2f526ef41076ee632325b5a91ff
SCPS-10083	Spyro the Dragon (Japan, Asia) (Shokai Genteiban).bin	eb2264b11a55142edfb8223806fcc598
SCPS-10085	Spyro the Dragon (Japan).bin	44de257d38977baeb883b602bf0c64e6
SCPS-10087	Gekisou Tomarunner (Japan).bin	09b708c3a752d5f9eada1c85d997a8ca
SCPS-10093	Minna no Golf 2 (Japan, Asia).bin	4364232fc23c36624a2f97b8e20ab040
SCPS-10099	Ore no Ryouri (Japan).bin	aa9be791d510ee53950b271a1f3c7360
SCPS-10103	Robbit mon Dieu (Japan).bin	4788e8be48b758fe0f5b30913f0b03ad
SCPS-10104	Pocket Jiman (Japan).bin	1c6a1bac5021b4eca020f7d0a950d509
SCPS-10105	Brightis (Japan).bin	e69e9013df15e4b9625dfca32af2c070
SCPS-10106	Arc the Lad III (Japan) (Disc 1) (Rev 1).bin	5927151d160e7db0547ddefb3c28b802
SCPS-10107	Arc the Lad III (Japan) (Disc 2) (Rev 1).bin	07bc323df2c931e3cb24f8bf0864a169
SCPS-10118	Crash Bandicoot Racing (Japan, Asia).bin	b4c854c0cc8ad81331314017f92c6487
SCPS-10119	Legend of Dragoon, The (Japan, Asia) (Disc 1) (Track 1).bin	31f634333b27e3923f7e29af3481102b
SCPS-10120	Legend of Dragoon, The (Japan, Asia) (Disc 2) (Track 1).bin	6cc6385dcc0b10322bce7bfaba20fe7d
SCPS-10121	Legend of Dragoon, The (Japan, Asia) (Disc 3) (Track 1).bin	5188104eb8dbdd2eed89ad30c56f4874
SCPS-10122	Legend of Dragoon, The (Japan, Asia) (Disc 4).bin	011356d14836901ab4f513a7bd69cb15
SCPS-10126	Addie no Okurimono - To Moze from Addie (Japan) (Track 1).bin	131e6cbda2a6a2805ac96aa5589cf6b6
SCPS-10128	Spyro x Sparx - Tondemo Tours (Japan).bin	51b9da959645036b47a62fed2eaf63d7
SCPS-10130	Tiny Bullets (Japan).bin	9380f92615ec380e9dc178f9898d8a63
SCPS-10133	Koko Hore! Pukka (Japan).bin	5d0b176facecd1f8d0ad4144fd9a8662
SCPS-10135	Magical Dice Kids (Japan).bin	8682e8d447a2330152f8101f263004fa
SCPS-10138	Bealphareth (Japan).bin	ea74175cdd49ccfb1fa44a38fef2f1d7
SCPS-10140	Crash Bandicoot Carnival (Japan).bin	8a7d45c1b3165666def0dfc51111bc40
SCPS-18003	Depth (Japan).bin	d2d9ac7e455da938d9be26b2efe051b3
SCPS-18011	Um Jammer Lammy (Japan).bin	2086e431c7b37304343dbe961a33c887
SCPS-18012	Vib-Ribbon (Japan, Asia) (Track 1).bin	e116bccbc0828e45d7b3f19234cd3670
SCPS-45184	Suikoden (Asia).bin	79c7d722179b65cb36b845bfcbf88dfe
SCPS-45196	Castlevania - Symphony of the Night (Asia) (Track 1).bin	00d6dd6f382283ed519ff81271f02972
SCPS-45385	Tomb Raider III - Adventures of Lara Croft (Asia) (Disc 1) (Japanese Version).bin	86376bc95374437bd9890bdf1d69d4cc
SCPS-45386	Tomb Raider III - Adventures of Lara Croft (Asia) (Disc 2) (International Version).bin	db8da3804ec37e814fdfad2fbd4d7fa2
SCPS-46001	R4 - Ridge Racer Type 4 (Korea).bin	924774139bc091b8b7eaff1f64abb414
SCPS-46002	Mr. Driller (Korea).bin	7940935673b679a9adea35cbc804c066
SCUS-94103	Jumping Flash! (USA).bin	4e73eb6054568a3ef88843e3d8c7d80b
SCUS-94154	Crash Bandicoot 2 - Cortex Strikes Back (USA).bin	3c31b5e038f025098a2fdfa70c8213f2
SCUS-94163	Final Fantasy VII (USA) (Disc 1).bin	cce4e76d020b47847fe8e2f81ff613db
SCUS-94164	Final Fantasy VII (USA) (Disc 2).bin	ccf63cd314d3e79878323199eb09d7dd
SCUS-94165	Final Fantasy VII (USA) (Disc 3).bin	eac916b42d5c24f951c8dec2f13a63de
SCUS-94180	Bushido Blade (USA).bin	93df824e6f88ffc7a47fd28eb6c84de7
SCUS-94181	I.Q - Intelligent Qube (USA).bin	535009e988fec452e98b49fccda63e6e
SCUS-94182	Armored Core (USA).bin	9a1e568c12e921ec51fd65dbe8ed8c53
SCUS-94199	Bloody Roar (USA) (Track 1).bin	805e3006c614855e2855811f0c5ac78a
SCUS-94205	King of Fighters '95, The (USA) (Track 01).bin	bb32657e668a2cde0fe95c83c6c3bc8a
SCUS-94221	Final Fantasy Tactics (USA).bin	b156ba386436d20fd5ed8d37bab6b624
SCUS-94227	MediEvil (USA) (Track 1).bin	53d908f5bd11d86f3deda75c2da3b750
SCUS-94228	Spyro the Dragon (USA).bin	387185f71cd0043fd75a19521dc75104
SCUS-94236	Tomba! (USA).bin	c80636a28de4abcfa34f9e57fb3b043d
SCUS-94240	Syphon Filter (USA).bin	864d927e9eb35ef485ae1d2aba510459
SCUS-94243	Einhaender (USA).bin	a3aa50b173f19c6d2da6ae2e970b827f
SCUS-94244	Crash Bandicoot - Warped (USA).bin	a66777800f028b8443d8a5e278ba69bd
SCUS-94301	Wipeout (USA) (Track 1).bin	6153ad6a5c70491d3a9c82e9b4f23123
SCUS-94302	Destruction Derby (USA) (Track 01).bin	a58ffea21cc7b9921dd49266a731d70d
SCUS-94304	Twisted Metal (USA) (Track 1).bin	97a54e230760ccf81a79a46665ba1969
SCUS-94308	Rally Cross (USA) (Track 1).bin	7f0399f2d0026e7af26f45d1659f66f2
SCUS-94309	Jet Moto (USA) (Track 01).bin	a8c6041f61d64eab2baf669305ce3ea5
SCUS-94355	Motor Toon Grand Prix (USA).bin	82cdb35aceed9c3a7b255e8b999b1536
SCUS-94356	Cool Boarders (USA) (Track 01).bin	2924f1d91af34e47acac53e9c31b187e
SCUS-94358	Cool Boarders 2 (USA) (Track 01).bin	641ea195e364eca98579f9a47cf0c796
SCUS-94403	Philosoma (USA).bin	f270e7b069bf290ee231fceccb5b8689
